id,usedPriceLookUp
HvCmdvt6BZi6RJq0hud9,12000
HIPbRVioXUx4C5CcUOjL,60000
shnMixZ8BZtOZWRI4RzA,75000
PJUF2aLIAF5bBcc1qvXh,7000
ZoMEtEQOH6YAsAffWaXx,22000
F7z0LHfhS4a0pnkxT5j4,9000
Hg6KxY1TEVQDBiPAslt8,10000
Hbhf4CKNsdFI9muLDCIu,9000
TY8PUlhf81xnDp4VrYCz,20000
XqvDEIKajJO6dMCtWYl1,40000
5Q1IipD2yeoNpHi4k348,45000
BPbzWJrIuN01qdAZHuuC,50000
K8WPWZphsMyn7cYg1JAf,45000
uIrRHKfi5WL64PrB3wxm,50000
375RoOwFJSZe7TCyjxK6,55000
VgtqnWXylG153x1qjdLo,60000
7u1uMHMIa1QLVTXnZv0H,70000
YlZHSyVJvftQQ5rPROCZ,80000
NERYDlWidpZ7R2DJgCEp,3000
fsPrx9vTLqrFG5EbAZBL,50000
w9VtyMAit7lqweiW00q3,55000
zGKlxtUSUIOUxGluNiUR,60000
ytli4t3O4AAK1bp7SkXs,12000
LPE4rM3ICYHKHKJzqa56,20000
RSlN0gK8t60RULPHNRDH,25000
I4Q18OoVzdYLRlSi2VgB,22000
PdVUCAZwg24tdgPxLIGp,15000
ouf6BSAuFpr4oTQdM34s,40000
yuQ7T4vzqg4PpBCkBuY0,45000
pwUjCcrUwUHBU01Xve9t,90000
,60000
qiRXjQOdrptPR3Sj9G4b,30000
3QpZ6P8l4LclOZObHSHA,15000
4cuMFj2Nk2xd6DUgNPjN,20000
xPcp4regCHzKJHP3O4Ss,95000
OdvYhKpjTGLxj5RdFfhA,12000
XrJhvv0Hj3G7T8zcOY6a,45000
Tc06LPv7XY94KmyukR3l,50000
CcjURJBTYhw77ZTX2WUu,90000
,60000
NEquwlhTpc8CNgGmbKHb,65000
XoIZesjSsqJOOK7cfRdX,70000
EKeW2QaJceNd1mz1VOQ4,85000
VF4FeJ9MR0b4QhqhjOV1,110000
THTSF5ROGMj4CZCW6hHP,100000
5rQKieJJNLekiViJE0eX,25000
NIQCGaSiLwGm5UTB78nW,45000
QzSZOCjdqrRxARO0dthq,50000
1lh8DzGQtSmpfghwMvR9,60000
xSwbhhf6goik1jyVxDVP,70000
,30000
OXV0vrULySXyD4ZxR3rk,6000
Lzb7z22k2Kgze9taISMM,15000
aCPEnEMkkOd45j5ELWxD,6000
xVYAZIdcADlZ541xdgKw,12000
Qt8eLshvBVemLayB8h2o,20000
qA2tLqgru25YVVC9glWS,6000
tUEBXc8YFYkxC0C65JgB,6000
E4GPa5R5gSzjUImyJhmd,30000
kCIAGWK9JzhigwmCucWp,70000
XlaOO9fTOgHb2sWQZqoo,45000
VFQSTjiyAUi3ZNIWdbQx,50000
,60000
QEqBN7srfsIJj7PlTZtr,70000
1TM3hiq5IWzQPYVQIHyu,85000
8naQZn7MwENxwXrEs5SA,65000
n6UZTvxUM7KJYmdwC2lL,75000
NsccHz06E2wzeAv7K7H3,85000
LjflIxeCKahT27J8hzES,30000
wtZLqyAzUnp2dEHWNrUX,35000
dvDnBNMrjv0x516caqVD,20000
CbE9l9dA15TQzcZ2Klri,25000
dx1VDQUmIVrpkUJDcAHv,12000
,22000
F1tAqssF9RZzX5jNC5dJ,20000
PRttIpWKjx5mB8tj4MFo,45000
WUgtOQDx6vQWEUZ1oYIV,55000
NEVhnNiwofp1XYGsyfex,30000
EhoDztp7OidEK5mVhDWk,35000
jClb139qSBc0pNRvzNkY,17000
gM6XBoBw6RHMPpx121km,25000
tnNuC8ouP5dTM4mfTeV2,15000
k7ogGAbj85kt4YXtSfuA,65000
JMua0VfHnREuSDXO9aB6,30000
6DCAICWa9g8SWYEkzmco,35000
bCuwxnSZeWXRK1eZ0ql5,40000
EjJHHmA7LiujLOZTzYCN,27000
nzpsYwc4sv6vxsbmELyn,12000
,22000
,6000
,6000
fpQrvyArF7a9LT9Yt3q2,40000
5Mp2r6wSDirkYDVecQta,45000
,55000
,65000
,65000
,75000
yCuxd03juiV5SFWL8Bzb,85000
OCM1pAUGRLvsYZEzlb0G,75000
cvyuK6w8C7gJj3VS8O5W,85000
WUh34GewMwlT1BT9nRI9,95000
ZrUTb6MhkFXcLXKskcbw,20000
ujSD5CAcni0isDUzloHm,17000
uzZrWZlHhX85mIecSZHy,60000
lTg6PBajVlgSGsTeyfJp,65000
xgKdHWSyu9oc46zptcoV,35000
,37000
qIR2DK0rsAmJBeGOfYwd,55000
rIYaMWpzMT4W4mhCTAie,65000
BFgxKzRGBnUL1M6ht19B,75000
h2Bm1BIST7stzj3YwhYz,50000
9adIJX7NIkwkzlS00lt1,70000
CtTtrzVs0Yqw7oKz0Brl,85000
tW4F4ZIpm9hfozBksske,32000
6ZLGDWvWhrHdpww2sUso,27000
MOIDG8BWidsEmFiely2u,25000
itBig7WCNn239jTaHY7o,40000
pNo2Jv3TTzCvJGu99kov,45000
yrnTQ4OTmCKDeF2lJP6u,42000
SodwfpCD3oK4EJImEpAF,35000
1SjrMdNsA7tk7v1QR0gm,37000
Sii4XS37ckYHfvON66Up,55000
MBRCMTkSlP6VNVBSh8Ac,57000
m0OSf9p1bUQC1D0aKgd3,60000
m2yZ8Py9Ox77UyeC9cUm,60000
S1fyWWNh6nczvt3bV67z,70000
qlmPRUydFsnAzsXcD4UR,75000
,55000
,75000
CiPEaybTNax6qVjjkKDG,85000
FaGkvrzJHsQE4uxcA0hm,95000
N4ZAirjkgi7tB5DYq0jy,70000
pgfxJTWURMrlSXalcGRz,130000
RmMfaIzrG451GisJc75i,160000
DyMLDKpbZLJ5EXQAcWt3,65000
0IAe1AhxwFstK3mZ2BV3,28000
5rImV32ij3EONJdRLVxL,25000
uU0pH7DXtKYdcD8uWjRb,30000
gYApWkrGwd3IlPIONRZp,32000
OiDc19p8NP9ZsweoDUc0,15000
YRUaecHakfz8DvBT6PTG,20000
AigqBygUbOWovfDdMf9m,22000
mlScDeT9eJFh0DUFHTBL,110000
j6LmDaLPrSUJx13SRHph,29000
,85000
yT7Ps6jyFP8trSbAKUg2,95000
a8rJN5f4LJ8W6u682ANy,70000
9euB8bcTA5OF6hvNaxe4,65000
3kX0zZIwDcuMham1Mwzd,45000
,40000
hZURQ7WDnHesW5j2EO8p,55000
1yZtAloB4ata3aaKEdIN,65000
,100000
EL69JYY4eku4zFAJa7GT,120000
Ujj8eJkMO3NWZPpKWkpL,130000
8eAn3lyTeEoGAjsRRQv8,65000
TiKNz8oGTj9O4NTivSOI,75000
,25000
6HgQwIzX78aAd5G02urs,95000
fIoKI2lGjKqY3i6tF86u,75000
HruvngydUL37bNcbx2Nm,85000
W4fWqumDi1umtqhn8tqp,100000
G7UFZagYzW2jCEZXj2ap,110000
uK73XaDUxbsLn1J3CpNP,35000
b2z3137g0vWQCEE3mtVG,40000
Dapg2A2cTYr1CVbmVfPD,55000
gWMgePd2P9IV2erSKJzo,60000
IkKiy2eGw0kxVuZrCQ0T,45000
mdP5gL6dmZ0vzz5rP2KU,50000
IXkPrRzwK8pHbAwmCtNh,35000
PnfJx3qyGdwXDTKTKO4b,25000
hNz6LUkqaeIl0wQBdl30,17000
SehS2lDGnLo5fW7vEGQn,17000
UMP3qI7sIix53tA63knj,20000
EWAvTW4hMncJQyTmS1i9,50000
uNUVv2KN4Olac8tRfexi,120000
ljfC55p4K4q2PqK5TGpQ,130000
U2Mh3lQPGSt4zoLw9ku2,32000
,110000
,120000
KV35XNTYfnqUIjIBF09d,35000
PN3lnSNQvOSz1lIfxnWV,35000
DnsrZArgD0z848p99OU4,25000
GSTyC6CKsxtvzf9M14ib,27000
9potXb1bxSHeYhsZo3Nl,35000
VpXcOre9HtnmpnJPiWT0,75000
KV5ppQB18rcWgVPdinlw,150000
H7ZDLzGmATANwwUuHULY,160000
,35000
QM1oi2dJCWAZvv2MIJiF,30000
v3UOMDBJecfSk2H6fNbm,25000
8VsVRXaDuwXsCTEkX56O,65000
X5HsRqkpgNNSPd8yJ15I,35000
McWwlsHZ9p3CZIrDztqK,150000
,32000
,35000
iV6zJblzzBnWJdV9NPFK,17000
2kG5woZiThmedymNd75T,20000
74aynk2okgIG51k0ekVO,22000
AcGxndMbv15Fpd9j8qqf,45000
,40000
o8Vgj6R8W2g7iTwFacOg,80000
6qrIBzq0W9vhXxHcKUJp,75000
AsYTG2q2JJC8yVRVJANV,130000
InFXACzX5F71VviyZq7g,140000
KQ6vJG226az2Q3Y62ygn,120000
tqSpZBvHwVwrOzHHzqGF,130000
Ugr32mzrBvpKEKp0u7Zi,110000
X6oENEUGXnhz7291uNjk,120000
,120000
,130000
,160000
,160000
bdbKWRtQ18Ns9R4MFCpj,40000
egUNXKcfanFPyoUle3zl,45000
OvxqttwMa6IW2cnzuLhl,100000
fkwxfNVHmfZEeYGtovQH,120000
CKc3LwafBwqq3MvAekf8,130000
Qx81vBjgafiWQDNCUVET,110000
WCYuaQzqL6PClaIeBA2m,120000
,45000
,50000
90GmT2WggmGYecvMHRLb,150000
Zfl1XOGy72Ox6heM8bdd,32000
,100000
,120000
q2JIaFf91RHJ8xk4UTRL,130000
xzsdPmEtyLeKiKQ1ODqL,110000
1XycFDVTJxN7XfI1gFKk,120000
iUad947okpDGuuxEpAZr,150000
85nGkH5RdTkb6mSqvpk8,160000
AgD413H5NKb9qqsfpiuL,120000
gp8MxRIvmd0W2BuGchUf,140000
CMwzLHQ46BxCdeNPt7YH,160000
9kmPxSfr2FkQwOQNGa2D,180000
cTU6q75RtVsafIU1d1gT,70000
Y43pl1O0jGWIKwks0V0w,90000
,75000
,80000
1bI8yMeTJg0JIhPsFqjH,55000
oZJWL1mLk1ozyARi5IS2,45000
Gs9v0JNc2m2daFn2lU9W,35000
6fhO2EIKhvrpzGQoFl6V,60000
nQaHrH24f30G2FZwhIxx,50000
gUPdDfupZehh5YIShRx0,40000
wXKoYfCnJwbRXRBsj8Gu,45000
,60000
LVlrMSiz8bTzZB0l9GBk,65000
5xQJr029zlNMp4gMxbYl,85000
uv1Znnmo2DlMXpx2PyR4,55000
K3xMXDiyb4yqZtyKF56G,95000
sOLYhwgf5fvmlP4KHSeC,150000
1DqlrInaCJctVHEr5aHJ,175000
xJkVAVEl5itaSqMe89B4,65000
,75000
EmREBYPYOyz7SWMYF6e8,95000
I1JIHw85FeQY6I5DzKed,125000
XsQvaP2XXppDVyhGxgrQ,150000
ZCK1TMD8OVnyoDNZWVqL,160000
,150000
,85000
tdHLLks8Lj04RyuopEVz,90000
,65000
G75uoQhsR1rjJyJs287d,70000
7ucLE9ryuNfyzfAJKEw0,100000
oReUv8Ne6oMLlREHmH9M,105000
72a42jObOIvIig8urWW2,110000
NsFdPCwtgFwNh95YVxf7,55000
asyKOPfG7LOF5QWqUrJR,60000
0Y3gFtkFAPL5zccqTGXe,65000
z6eDRZ7dwfYgvWV72iCR,55000
nkVSrv2IequtQcmiGYgy,85000
VBvIZwWsXjU62OqdXEdP,85000
YoLwws7YNGyFKVndoew2,55000
qjR5i9D0puH7TqTjJPrV,60000
XilzRdzecqloOvifH9DC,75000
rd00QqKLPXGWHYqgUoRH,45000
Syj6LNfJm82jBz2Hmckd,50000
7ZCljp4hCypcsLX28dvR,40000
izvLa0PjFRr5lwDyfiQH,100000
Fy8YOapz603n4LBQhciT,110000
ug2nLmitFggejBL6WNYj,120000
,0
,0
,0
,0
,0
dDv403DbOPflpagpWIoo,45000
,120000
,130000
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
